,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Infrastructure and Market Access,Economic Quality,Living Conditions,Health,Education,Natural Environment
Mali,0.007180266088935586,0.011273977674278485,0.001848324551376828,0.001141975611278741,0.0024949735919474712,0.0008618957837224061,0.0011402548042141157,0.0021227373439570013,0.0010026813003261754,0.0012547653256526087,0.010206554276586344,0.0033960922057216167
Malta,0.0018557469323433173,0.0019400162052930735,0.0009884593497649034,0.00652682116023795,0.002816833698418359,0.001359448624691147,0.0016959325560307239,0.0027712850368760873,0.0010979272672135987,0.0011953862970031249,0.0014216534833429266,0.009618159487054578
Mauritania,0.010044386595393362,0.0018604302282137705,0.003161734509512102,0.002588220815817088,0.004027502267267627,0.006035715689626096,0.0021869513327150217,0.001510814681532812,0.0065343626808909636,0.0016796718941547214,0.0023349789043852903,0.00800028842755826
Mauritius,0.003515761796781546,0.003939005406881392,0.006699079648327451,0.005882689064529198,0.0035340473110327536,0.0027555976050550827,0.0016816647194618454,0.004692808012552195,0.001399017841951419,0.0038947068589155094,0.001596255882045072,0.015475128715965042
Mexico,0.009332626752348194,0.0015148732536502917,0.0025083756192929123,0.0010458846741557368,0.0013807164355798193,0.0005700802792669235,0.004274043921106141,0.003884480353017243,0.0010277187814067817,0.0006917715579588578,0.0008795342595943507,0.003381517783982338
Moldova,0.004042187730966221,0.005582196618802979,0.0009424859118295197,0.001491264482218653,0.001744264653927935,0.006666723896932597,0.0036532841521620396,0.004227021803890417,0.002662461092768232,0.0018409917769808843,0.004875304757803595,0.004033794316746074
Mongolia,0.0041375299511939995,0.00568748001096854,0.0013621879658419715,0.003671400914467278,0.003718093982667821,0.0020350678986890657,0.004386660070367886,0.0013074071923211243,0.0019787737363453836,0.0018469448704180377,0.004456346603067304,0.008012700691098412
Montenegro,0.004382476196877032,0.006104991682291339,0.0030646238478270506,0.0034386187409322817,0.0033603760189736716,0.006597565066710984,0.002100346344395607,0.002796207921765423,0.0016576832201020738,0.01391955934864833,0.0016949698648363268,0.008037547381658593
Morocco,0.003959084386280461,0.0015718222893798817,0.0007857509669368786,0.01116435482320699,0.004905415480865406,0.0007188371968434217,0.004932957950738191,0.0008109818778368966,0.0012804238150150391,0.0013459877101236386,0.00402323850790437,0.003151248430636546
Mozambique,0.0013561679075140293,0.007042060304895514,0.0019763526906027753,0.0008059617555658538,0.001525989449741718,0.0015863427631768526,0.0014317601272868258,0.0055191957388390014,0.006628256159470908,0.0019546685015788025,0.006939122888424534,0.014922344346383981
Myanmar,0.005543686187168148,0.008877490089500312,0.0009574431282473725,0.009251088913973152,0.004940623900732931,0.0013474992697200087,0.0023338689606705806,0.0007210031886137726,0.0010286157338750806,0.0040270012933005805,0.0024970558086781294,0.0028634844603589137
Namibia,0.0025682073100923263,0.005685570283638808,0.005408354699789078,0.0006417760946435857,0.001213052710837697,0.003003432612649473,0.001712073898612122,0.006186367333068182,0.005938485973172536,0.004259679672045047,0.004011452134440485,0.0007432276483317771
Nepal,0.002668894353783556,0.007858930631346586,0.005267623212229761,0.005133085126626205,0.0027735881532008552,0.0016622111513769217,0.007012611901319049,0.0012433945049746143,0.0034955235058592125,0.0023644754294355717,0.002787278385472748,0.006077800198080019
Netherlands,0.0014013342651784284,0.0019949747350429085,0.002310973776028284,0.003240891466043852,0.003229626085181455,0.0025013614748896594,0.003484665733726241,0.0021811027149025303,0.002440697497675495,0.0012755284004907679,0.001954285067216767,0.010942014340239836
New Zealand,0.006116417755384698,0.0026123800185875803,0.004916993082987174,0.009699756108674296,0.002585523095886274,0.00479072916080376,0.0034835175656750955,0.0025433965648798684,0.003359540030635353,0.0012998576903587838,0.0008067327310251867,0.003482485733455061
Nicaragua,0.0008496088179661783,0.0023628774840938754,0.010382898259697543,0.0057354179668887145,0.0018816216247765326,0.006819734092483071,0.002381252827307615,0.001149351446354606,0.0020884113479737454,0.003743716727054189,0.0011843398740246144,0.007477326885113836
Niger,0.0019340454801234207,0.008116902342452645,0.002508149839720912,0.009299177871485778,0.0014583286197574312,0.0007703979496394208,0.005805614205041894,0.0013029193020271182,0.007247746161326216,0.0010177732078920478,0.012384200771669768,0.0010037840583417505
Nigeria,0.008972909936173501,0.005774258721507934,0.000929232454981185,0.010404119742380785,0.003233518076181042,0.0015320542417403271,0.0014342080237750455,0.0022833544090952694,0.0015322519232797496,0.005772818688783439,0.0019305167059893644,0.0021521112659680167
North Macedonia,0.006249067525630328,0.005765402077121923,0.0022875115014067277,0.003207850383339997,0.004844540731716786,0.0016814243833756307,0.002572968719638951,0.002805357384757238,0.003783692853084726,0.0013796139925553765,0.007399683609401825,0.0026858247155087007
