,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Infrastructure and Market Access,Economic Quality,Living Conditions,Health,Education,Natural Environment,unusualness,hhi,width_90
Croatia,0.06580364997413586,0.13354463953292986,0.04545499474480164,0.21851740805050265,0.03308303872372813,0.17647252635012475,0.038259162001785786,0.030167144961104946,0.02661535572256507,0.022312353175688367,0.018912124516900653,0.19085760224573245,0.7477360748695331,0.14458167643924127,9.0
Cuba,0.007605504233615901,0.22449246760459138,0.03919698906428629,0.10971789832489233,0.024104321237170767,0.22056262911906732,0.017112111221617033,0.038039819848923004,0.05408795852556854,0.11915426618007618,0.11978095229505682,0.026145082345134324,1.2002803337302286,0.14715216505112333,45.0
Cyprus,0.10045416809102894,0.10180934707232503,0.0801142745519363,0.12860770620696388,0.05618498803535674,0.09620549885237094,0.052485715681007954,0.10312789959466717,0.03774967036186941,0.09028422132148263,0.053779850564047466,0.09919665966694338,0.38843391251578924,0.0915253148841026,4.0
Czechia,0.1013632844631538,0.12537499395171045,0.05034596216190061,0.05010403058015193,0.03907799874195578,0.23126844728310833,0.13427807616006193,0.11159699037112304,0.010886921178690665,0.03165674747181497,0.03194706536991339,0.08209948226641506,0.6985334646688899,0.1254168237108983,8.0
Côte d'Ivoire,0.028834940457547267,0.21540192702586664,0.05935490995566565,0.11696100728560861,0.018406800282170965,0.02563909724331153,0.0235437588713923,0.08061864365634167,0.029579399615584902,0.22433829290374296,0.10995528485082733,0.06736593785194021,0.5712996455856953,0.1403131192035007,22.0
Democratic Republic of Congo,0.05963770067565193,0.19076921275424769,0.02733053080246841,0.034444197238843545,0.19658895303223692,0.03514678157823862,0.03831426597501142,0.041686670804107775,0.07829131488659118,0.039438400918043535,0.07109568027728662,0.18725629105727234,0.7455716288772208,0.1327756144719403,7.0
Denmark,0.057902011979726616,0.09572262325295654,0.04634464751958225,0.1957456611887575,0.04461680233451083,0.07955767163262172,0.038550145906926736,0.062048840423898015,0.03405774842574105,0.15362463523268316,0.03428812778375058,0.15754108431884503,0.48959843479908544,0.11739123606870087,2.0
Djibouti,0.09040510657347837,0.06919171648328747,0.027227082746404133,0.09889065557257917,0.12043883651014792,0.028333725691483,0.055516426942269326,0.05199099248601983,0.041708957729519866,0.02689711597463694,0.045657946024382806,0.3437414372657911,0.5458832023283787,0.16728061876186887,21.0
Dominican Republic,0.07780773748011667,0.31614755457113736,0.031436819514053235,0.06229962367165263,0.03089895566238374,0.016199401119462206,0.016165894846735255,0.023402368011737777,0.04184404417184839,0.03520803868387361,0.1969357631847183,0.15165379908228083,0.6451770155531052,0.17767210966413843,25.0
Ecuador,0.02607785624786422,0.16333508941792912,0.06804234536963208,0.04207697345939172,0.054356276341268925,0.14198086342408017,0.025056954094999428,0.1634860177696776,0.03416533773778334,0.018309317689941904,0.025770304134867295,0.23734266431256404,0.6460431935235265,0.1427254880867898,24.0
Egypt,0.060490180910665686,0.2251244664365443,0.015007938460445921,0.13898709809958834,0.07098169335223684,0.09706638379032317,0.12430189736813403,0.01071058097863717,0.09413606470479324,0.03602171536688114,0.039043656459953884,0.08812832407179613,0.8182792486026167,0.12335887218696434,41.0
El Salvador,0.12744310575635878,0.19778582633191252,0.051630653493318884,0.054022223864784294,0.0316406731219356,0.03275104508011597,0.1623787583873326,0.062460065209714116,0.05720550915317714,0.025711024055321496,0.11987417974556716,0.07709693580046158,0.6387421221158377,0.11753427093987097,16.0
Equatorial Guinea,0.05659399576204901,0.21167569719982365,0.12837407739238021,0.06257377305630217,0.020962213973861228,0.07963195244393247,0.0183978269835175,0.07821209664803674,0.04691212651279207,0.10482472232888206,0.017638408919606923,0.17420310877881592,1.3298962152247709,0.12548794292940732,29.0
Eritrea,0.15275491360923027,0.36119501266873755,0.04287806996196993,0.03592100052011013,0.08843780866627539,0.0327383082582991,0.03405051271406827,0.029488812860557993,0.07510103974309422,0.0594786492405915,0.0313783872768656,0.05657748448020003,0.9918667216683293,0.18121030912406969,10.0
Estonia,0.031049752265415623,0.16716950732146524,0.030165173940743785,0.050752681378046664,0.10415909773010884,0.0705187946567257,0.10440656904713012,0.08310297439461672,0.009546074420416911,0.08779966407085052,0.021877517494115973,0.23945219328036396,0.574759079640412,0.1316402449192717,8.0
Eswatini,0.044912172418970095,0.22847515305186247,0.01268453800857424,0.10380752998481993,0.10433382821492318,0.02043138105326372,0.061090630056549945,0.0924199709743607,0.056992843678582754,0.1338649140073732,0.04334662285018433,0.09764041570053547,0.778789956817142,0.1213119846602985,25.0
Ethiopia,0.12155521308925406,0.08916046146533968,0.06407944578070314,0.06770606789474441,0.08366147686192045,0.03088533940170816,0.17715141651423713,0.09469833359738443,0.04787486857455603,0.11979663262807677,0.05520156702337572,0.04822917716869985,1.0172347331931573,0.10173559314127817,16.0
Finland,0.09483064268324393,0.04001701846030208,0.06790838395537382,0.07846219301770394,0.06208192497695418,0.04056066371995179,0.025279504573711208,0.2919138676814712,0.01887394521001253,0.04106885385397216,0.06508379228023732,0.173919209587066,0.7536608206034466,0.14924083729487841,5.0
France,0.13871306339260153,0.05843856356754349,0.04452272654982665,0.0857613155634721,0.050025446101975256,0.059869906803651514,0.05302331499093482,0.14307070835586372,0.01615032284741881,0.03602213810871847,0.0487451890963453,0.26565730462164827,0.4757209772085716,0.13586963093553897,6.0
Gabon,0.02431445453604182,0.07939192922981349,0.06716024621584489,0.04578097678958457,0.13805025995525677,0.18339729935048998,0.043870721557614206,0.027794097288065794,0.12995901443859786,0.08990647660286354,0.08853486215798347,0.08183966187784372,0.6268520200434942,0.10839893541321559,19.0
Georgia,0.02439343906412436,0.10579597993429334,0.10335279955160015,0.13574014516851957,0.08513140866987497,0.043592663534480096,0.043726472341345336,0.047406682393100336,0.019656794446279508,0.0546576225637206,0.06762959102227122,0.2689164013103906,0.7676335994632169,0.13446573014803506,18.0
Germany,0.06552313489693799,0.05445503778596874,0.04331486934497457,0.305273562176966,0.08013302308341741,0.09897452793278833,0.08784465539608344,0.051664847723575553,0.029168296851512468,0.0424809010975434,0.036931408685624854,0.1042357350246072,0.48387356761710576,0.14381439046044447,6.0
Ghana,0.04666799901873218,0.2659283163016433,0.1060489099497337,0.030614419522304433,0.016546107748132418,0.109565751100848,0.06537933673493551,0.12713574931069727,0.07337013403398636,0.05923267887063272,0.08477831966409574,0.014732277744258495,0.5817281250498342,0.13409185975521015,36.0
Greece,0.050162734347727875,0.0870936774882441,0.03535493541961847,0.15215661512556725,0.09406250641696953,0.026417380233680357,0.048994845890059334,0.30957257849237146,0.03110176800344976,0.014825766442842768,0.05328138154787572,0.09697581059159324,0.8523031215557665,0.1557148617138268,12.0
Guatemala,0.03982105221473734,0.11295446445464266,0.1727756926691688,0.024141671029994764,0.021818473817831422,0.030103663875603346,0.04428704685554378,0.1219491536610156,0.1047253743295508,0.01897717722738733,0.1856027772766673,0.1228434525878569,0.8825032214463729,0.12386034453395478,20.0
Guinea,0.03280661125181115,0.04277887706651789,0.012580322776147795,0.05478846161564673,0.02751263290133292,0.13633820454262674,0.018958784030567805,0.12483594286195919,0.08768257000774629,0.13700205899233797,0.1668377811046313,0.15787775284867409,0.8645288638913526,0.12057287252125093,22.0
Guinea-Bissau,0.3439501852332846,0.0893959070962803,0.012830309906904895,0.01191507976651037,0.06401484600347226,0.01844882503315061,0.046408798239258524,0.04375606621919044,0.055954122294978884,0.03723667482331069,0.16683709040204509,0.1092520949816134,0.6289942201689656,0.17939464239005962,30.0
Guyana,0.0169713710805646,0.16617929835632259,0.022050637884948533,0.0204891145811629,0.04825065336325807,0.08485387880483637,0.1204938771379415,0.07842204587532817,0.0217386904159498,0.14760056436297828,0.0351321907165862,0.237817677420123,0.7182982343255868,0.13905673487053807,27.0
Haiti,0.11375196004796354,0.2559130858731602,0.07052549050612063,0.04877389940836199,0.16516780645926396,0.08817909897089246,0.027737149332595433,0.030161679250504017,0.048200708911465134,0.029967321553280368,0.08088244982936053,0.0407393498570318,0.9800102164018788,0.1339418021625134,12.0
Honduras,0.10815349213259531,0.07830977406199746,0.2524935727249304,0.15349132489501913,0.01823060327942472,0.021559136180692245,0.03420933814615013,0.01989123507874674,0.03386525782197155,0.012553277930478005,0.08119568720352352,0.18604730054447077,0.8063393225753946,0.15001605909217497,21.0
Hong Kong,0.011550733815875708,0.5370588345816878,0.03199302380328716,0.09083202640167727,0.05386105741546941,0.09414770924998146,0.04064032467166449,0.08528599422408047,0.006005806865894995,0.010630079211663243,0.01537924227805095,0.022615167480666803,0.6533443422760564,0.31942679850276057,24.0
Hungary,0.053992615490774915,0.07128527744775333,0.27988235981535936,0.06044780064607499,0.022718356376303903,0.22479347581114126,0.02192537026886402,0.08704483293034798,0.03841948130361351,0.01855309250669864,0.04848066644221912,0.07245667096084873,0.716366905976295,0.15851123850270485,12.0
Iceland,0.04364590954081852,0.07222102681068984,0.038094418384473035,0.2601024228600938,0.05103929078624607,0.1821749795584628,0.06338167577570254,0.13075698239876057,0.019107457933468176,0.044945560958815675,0.03070103713904548,0.06382923785342341,0.3605095707537684,0.1405345785591772,8.0
India,0.09816305136682525,0.0217853398919442,0.11632359397539625,0.027075235868075156,0.06924208621168543,0.17876802050013887,0.03995197519913268,0.022622906754831598,0.06371959250598071,0.015406642833463251,0.023884812156725714,0.32305674273580093,0.7221962537199348,0.1724689548807064,36.0
Indonesia,0.029232042816163876,0.1276488971885849,0.12674790956753879,0.10970486879849065,0.02700139255209236,0.0841614847043875,0.023068876781600346,0.04086145711003728,0.2174036925090965,0.05880420204198192,0.11105121639746132,0.04431395953256454,0.3520283104865973,0.12028140592621567,21.0
Iran,0.011523417712104835,0.3471742508585732,0.019743605359146984,0.0050205167913259475,0.010472670612394156,0.09481757722528111,0.04851117499289258,0.008291752954314112,0.12413830458699941,0.12164558670782466,0.1345076966383109,0.07415344556083205,0.8966076984809485,0.18639892357799587,46.0
Iraq,0.2048559399258694,0.020730067330294175,0.006640128723201764,0.018289462872960162,0.014380614556671696,0.013838487395027379,0.05478581022411364,0.032978920626059845,0.17222219698993496,0.043034904648792026,0.024653366865666836,0.39359009984140825,1.0544307288544486,0.23429513093720794,38.0
Ireland,0.06010478924498407,0.10558928263290822,0.03300547476744004,0.10089102232261911,0.02613456319513075,0.06174408207445056,0.18509106310885218,0.283613346510424,0.02754639434012581,0.04222159474171333,0.03054261377005977,0.043515773291292144,0.3836150339605197,0.15058856175798857,8.0
Israel,0.40209253763615893,0.040622635023098576,0.051792310841327446,0.0363588436014582,0.07705679345878517,0.07008288276031298,0.010584163719872548,0.051358643166818714,0.027749872146995123,0.04607688672770408,0.018500724601590603,0.16772370631587774,0.8547755088510324,0.21229876425876804,18.0
Italy,0.042127372089445406,0.05722446303988655,0.14525180770439933,0.09493708988019985,0.0385688198583268,0.054107385333681146,0.04703041491916333,0.3460558264603776,0.01988642064495414,0.05945190268831228,0.031297868213165304,0.06406062916808807,0.5760947509361959,0.17055547051666659,7.0
Jamaica,0.17266699345074155,0.34896536322892635,0.09700009410257744,0.04077450634771043,0.029073482876842204,0.07437404229559727,0.017184956509159556,0.10961264851001914,0.011375175740074637,0.010690474150583789,0.01842935775693164,0.06985290503083616,0.673669942372778,0.18681206543146522,28.0
Japan,0.02782550572087302,0.020829421112672785,0.018564400460283962,0.7363716156016741,0.027303508631151566,0.034374873326775975,0.01946279798712628,0.024506563844545793,0.0056476610642288054,0.04878646017311112,0.01044738707780073,0.025879804999755965,0.7476481492264065,0.5498933294328364,18.0
