area_code,area_name,region,off_score,off_rank,rank_median,rank_p5,rank_p95,rank_iqr,rank_range_90,fragile
PAK,Pakistan,Central and South Asia,45.1010213591,136,136.0,123.0,151.0,13.0,28.0,False
MDG,Madagascar,Sub-Saharan Africa,44.9403591131,137,137.0,121.0,150.0,11.0,29.0,False
LBR,Liberia,Sub-Saharan Africa,44.7851712961,138,138.0,120.0,150.0,12.0,30.0,False
ZWE,Zimbabwe,Sub-Saharan Africa,44.6652306704,139,140.0,125.0,150.0,11.0,25.0,False
IRQ,Iraq,Middle East and North Africa,44.6594073411,140,138.0,118.0,156.0,20.0,38.0,False
GIN,Guinea,Sub-Saharan Africa,44.4737014906,141,139.5,127.0,149.0,9.0,22.0,False
NGA,Nigeria,Sub-Saharan Africa,44.0026838313,142,141.0,130.0,150.0,8.0,20.0,False
MMR,Myanmar,East Asia and Pacific,43.6591677181,143,143.0,123.0,156.0,17.0,33.0,False
SLE,Sierra Leone,Sub-Saharan Africa,43.6219111115,144,144.0,126.0,154.0,11.0,28.0,False
VEN,Venezuela,Latin America and the Caribbean,43.5977424152,145,144.0,114.0,159.0,24.0,45.0,False
LBY,Libya,Middle East and North Africa,43.4562894338,146,145.0,122.0,156.0,18.0,34.0,False
CMR,Cameroon,Sub-Saharan Africa,43.0849447185,147,145.0,134.0,154.0,8.0,20.0,False
COG,Congo,Sub-Saharan Africa,42.8220357246,148,147.0,137.0,154.0,7.0,17.0,False
GNB,Guinea-Bissau,Sub-Saharan Africa,42.7763248932,149,149.0,127.0,157.0,13.0,30.0,False
MOZ,Mozambique,Sub-Saharan Africa,42.704087561,150,147.0,134.0,155.0,8.0,21.0,False
MLI,Mali,Sub-Saharan Africa,42.3582929918,151,148.0,132.0,157.0,10.0,25.0,False
NER,Niger,Sub-Saharan Africa,42.2616867876,152,148.0,130.0,158.0,11.0,28.0,False
ETH,Ethiopia,Sub-Saharan Africa,41.8728868875,153,149.0,139.0,155.0,6.0,16.0,False
MRT,Mauritania,Sub-Saharan Africa,41.2308504306,154,152.0,138.0,158.0,8.0,20.0,False
AGO,Angola,Sub-Saharan Africa,40.5479096016,155,154.0,144.0,158.0,4.0,14.0,False
HTI,Haiti,Latin America and the Caribbean,39.8245845346,156,155.0,147.0,159.0,4.0,12.0,False
BDI,Burundi,Sub-Saharan Africa,38.2018197529,157,157.0,151.0,160.0,4.0,9.0,False
SDN,Sudan,Sub-Saharan Africa,36.9713137867,158,159.0,153.0,163.0,3.0,10.0,False
SYR,Syria,Middle East and North Africa,36.8260899622,159,159.0,142.0,166.0,7.0,24.0,False
ERI,Eritrea,Sub-Saharan Africa,36.0235937481,160,160.0,155.0,165.0,4.0,10.0,False
COD,Democratic Republic of Congo,Sub-Saharan Africa,35.7388553523,161,161.0,157.0,164.0,3.0,7.0,False
TCD,Chad,Sub-Saharan Africa,34.6854887026,162,162.0,157.0,165.0,4.0,8.0,False
SOM,Somalia,Sub-Saharan Africa,34.391722334,163,163.0,159.0,165.0,3.0,6.0,False
AFG,Afghanistan,Central and South Asia,34.178026474,164,163.0,159.0,165.0,3.0,6.0,False
CAF,Central African Republic,Sub-Saharan Africa,32.830033389,165,165.0,159.0,167.0,3.0,8.0,False
YEM,Yemen,Middle East and North Africa,32.6504115312,166,165.0,162.0,167.0,2.0,5.0,False
SSD,South Sudan,Sub-Saharan Africa,30.4039895639,167,167.0,164.0,167.0,1.0,3.0,False
